City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,wailua homesteads,22.0669,-159.378,298.78,79,16,1.79,US,1720634531
144,afaahiti,-17.75,-149.2833,298.08,78,100,2.33,PF,1720634532
145,olinda,-8.0089,-34.8553,302.0,65,40,6.17,BR,1720634489
146,atafu village,-8.5421,-172.5159,301.9,69,95,6.99,TK,1720634534
147,chonchi,-42.6128,-73.8092,282.71,85,100,2.49,CL,1720634535
148,pyu,18.4833,96.4333,297.9,95,100,1.72,MM,1720634537
149,weno,7.4515,151.8468,301.49,80,70,5.44,FM,1720634538
150,umluj,25.0213,37.2685,306.34,44,21,2.72,SA,1720634487
151,talnakh,69.4865,88.3972,292.37,65,68,2.65,RU,1720634540
152,udachny,66.4167,112.4,290.21,69,35,1.4,RU,1720634542
153,lebu,-37.6167,-73.65,281.84,66,37,3.3,CL,1720634543
154,dombarovskiy,50.7587,59.5386,293.22,79,100,5.39,RU,1720634544
155,baiti,13.745,-14.7482,303.46,54,100,3.5,SN,1720634545
156,vila franca do campo,37.7167,-25.4333,296.38,65,9,4.63,PT,1720634546
157,nemuro,43.3236,145.575,287.15,100,100,2.26,JP,1720634547
158,touros,-5.1989,-35.4608,299.19,81,100,6.61,BR,1720634548
159,meizhou,24.2977,116.1072,298.58,93,87,1.06,CN,1720634549
160,polewali,-3.4324,119.3435,297.06,85,62,1.76,ID,1720634550
161,machico,32.7,-16.7667,299.66,78,20,5.66,PT,1720634553
162,bentong town,3.5167,101.9,297.44,92,99,0.94,MY,1720634554
163,oranjemund,-28.55,16.4333,287.98,85,3,3.31,NA,1720634555
164,al majaridah,19.1236,41.9111,308.57,34,96,1.56,SA,1720634556
165,port mathurin,-19.6833,63.4167,296.37,70,24,9.42,MU,1720634557
166,kuala belait,4.5833,114.1833,298.24,89,97,2.12,BN,1720634558
167,fale old settlement,-9.3852,-171.2468,301.5,71,43,7.83,TK,1720634559
168,vernon,50.2581,-119.2691,307.38,32,5,1.03,CA,1720634460
169,kavaratti,10.5669,72.642,300.6,83,100,4.14,IN,1720634562
170,cockburn town,21.4612,-71.1419,301.78,76,83,6.07,TC,1720634563
171,ojinaga,29.5667,-104.4167,305.68,29,0,2.06,MX,1720634564
172,novodvinsk,64.4165,40.8122,289.01,83,24,1.89,RU,1720634565
173,brokopondo,4.75,-55.1667,302.53,67,39,2.14,SR,1720634566
174,tres arroyos,-38.3739,-60.2798,281.71,40,9,6.22,AR,1720634567
175,knysna,-34.0363,23.0471,290.66,49,54,3.54,ZA,1720634568
176,mezzouna,34.5776,9.8419,305.31,24,0,5.4,TN,1720634569
177,tranas,58.0372,14.9782,290.03,94,100,2.64,SE,1720634571
178,castelli,-25.9468,-60.6195,287.48,30,2,2.05,AR,1720634572
